sorted_opacity shape: torch.Size([14, 1]), gauss_weight shape: torch.Size([256, 14])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([256, 19])
sorted_opacity shape: torch.Size([25, 1]), gauss_weight shape: torch.Size([256, 25])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([256, 35])
sorted_opacity shape: torch.Size([65, 1]), gauss_weight shape: torch.Size([256, 65])
sorted_opacity shape: torch.Size([159, 1]), gauss_weight shape: torch.Size([256, 159])
sorted_opacity shape: torch.Size([353, 1]), gauss_weight shape: torch.Size([256, 353])
sorted_opacity shape: torch.Size([563, 1]), gauss_weight shape: torch.Size([256, 563])
sorted_opacity shape: torch.Size([757, 1]), gauss_weight shape: torch.Size([256, 757])
sorted_opacity shape: torch.Size([959, 1]), gauss_weight shape: torch.Size([256, 959])
sorted_opacity shape: torch.Size([1123, 1]), gauss_weight shape: torch.Size([256, 1123])
sorted_opacity shape: torch.Size([1289, 1]), gauss_weight shape: torch.Size([256, 1289])
sorted_opacity shape: torch.Size([1402, 1]), gauss_weight shape: torch.Size([256, 1402])
sorted_opacity shape: torch.Size([1276, 1]), gauss_weight shape: torch.Size([256, 1276])
sorted_opacity shape: torch.Size([1099, 1]), gauss_weight shape: torch.Size([256, 1099])
sorted_opacity shape: torch.Size([947, 1]), gauss_weight shape: torch.Size([256, 947])
sorted_opacity shape: torch.Size([750, 1]), gauss_weight shape: torch.Size([256, 750])
sorted_opacity shape: torch.Size([545, 1]), gauss_weight shape: torch.Size([256, 545])
sorted_opacity shape: torch.Size([345, 1]), gauss_weight shape: torch.Size([256, 345])
sorted_opacity shape: torch.Size([149, 1]), gauss_weight shape: torch.Size([256, 149])
sorted_opacity shape: torch.Size([59, 1]), gauss_weight shape: torch.Size([256, 59])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([256, 29])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([256, 21])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([256, 17])
sorted_opacity shape: torch.Size([13, 1]), gauss_weight shape: torch.Size([256, 13])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([256, 15])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([256, 21])
sorted_opacity shape: torch.Size([30, 1]), gauss_weight shape: torch.Size([256, 30])
sorted_opacity shape: torch.Size([44, 1]), gauss_weight shape: torch.Size([256, 44])
sorted_opacity shape: torch.Size([80, 1]), gauss_weight shape: torch.Size([256, 80])
sorted_opacity shape: torch.Size([185, 1]), gauss_weight shape: torch.Size([256, 185])
sorted_opacity shape: torch.Size([435, 1]), gauss_weight shape: torch.Size([256, 435])
sorted_opacity shape: torch.Size([716, 1]), gauss_weight shape: torch.Size([256, 716])
sorted_opacity shape: torch.Size([987, 1]), gauss_weight shape: torch.Size([256, 987])
sorted_opacity shape: torch.Size([1255, 1]), gauss_weight shape: torch.Size([256, 1255])
sorted_opacity shape: torch.Size([1482, 1]), gauss_weight shape: torch.Size([256, 1482])
sorted_opacity shape: torch.Size([1712, 1]), gauss_weight shape: torch.Size([256, 1712])
sorted_opacity shape: torch.Size([1892, 1]), gauss_weight shape: torch.Size([256, 1892])
sorted_opacity shape: torch.Size([1735, 1]), gauss_weight shape: torch.Size([256, 1735])
sorted_opacity shape: torch.Size([1503, 1]), gauss_weight shape: torch.Size([256, 1503])
sorted_opacity shape: torch.Size([1282, 1]), gauss_weight shape: torch.Size([256, 1282])
sorted_opacity shape: torch.Size([1020, 1]), gauss_weight shape: torch.Size([256, 1020])
sorted_opacity shape: torch.Size([738, 1]), gauss_weight shape: torch.Size([256, 738])
sorted_opacity shape: torch.Size([453, 1]), gauss_weight shape: torch.Size([256, 453])
sorted_opacity shape: torch.Size([176, 1]), gauss_weight shape: torch.Size([256, 176])
sorted_opacity shape: torch.Size([66, 1]), gauss_weight shape: torch.Size([256, 66])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([256, 35])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([256, 27])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([256, 20])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([256, 16])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([256, 19])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([256, 27])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([256, 36])
sorted_opacity shape: torch.Size([51, 1]), gauss_weight shape: torch.Size([256, 51])
sorted_opacity shape: torch.Size([90, 1]), gauss_weight shape: torch.Size([256, 90])
sorted_opacity shape: torch.Size([215, 1]), gauss_weight shape: torch.Size([256, 215])
sorted_opacity shape: torch.Size([490, 1]), gauss_weight shape: torch.Size([256, 490])
sorted_opacity shape: torch.Size([813, 1]), gauss_weight shape: torch.Size([256, 813])
sorted_opacity shape: torch.Size([1149, 1]), gauss_weight shape: torch.Size([256, 1149])
sorted_opacity shape: torch.Size([1482, 1]), gauss_weight shape: torch.Size([256, 1482])
sorted_opacity shape: torch.Size([1790, 1]), gauss_weight shape: torch.Size([256, 1790])
sorted_opacity shape: torch.Size([2042, 1]), gauss_weight shape: torch.Size([256, 2042])
sorted_opacity shape: torch.Size([2225, 1]), gauss_weight shape: torch.Size([256, 2225])
sorted_opacity shape: torch.Size([2066, 1]), gauss_weight shape: torch.Size([256, 2066])
sorted_opacity shape: torch.Size([1795, 1]), gauss_weight shape: torch.Size([256, 1795])
sorted_opacity shape: torch.Size([1485, 1]), gauss_weight shape: torch.Size([256, 1485])
sorted_opacity shape: torch.Size([1174, 1]), gauss_weight shape: torch.Size([256, 1174])
sorted_opacity shape: torch.Size([845, 1]), gauss_weight shape: torch.Size([256, 845])
sorted_opacity shape: torch.Size([514, 1]), gauss_weight shape: torch.Size([256, 514])
sorted_opacity shape: torch.Size([213, 1]), gauss_weight shape: torch.Size([256, 213])
sorted_opacity shape: torch.Size([81, 1]), gauss_weight shape: torch.Size([256, 81])
sorted_opacity shape: torch.Size([45, 1]), gauss_weight shape: torch.Size([256, 45])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([256, 33])
sorted_opacity shape: torch.Size([25, 1]), gauss_weight shape: torch.Size([256, 25])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([256, 18])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([256, 23])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([256, 36])
sorted_opacity shape: torch.Size([48, 1]), gauss_weight shape: torch.Size([256, 48])
sorted_opacity shape: torch.Size([66, 1]), gauss_weight shape: torch.Size([256, 66])
sorted_opacity shape: torch.Size([108, 1]), gauss_weight shape: torch.Size([256, 108])
sorted_opacity shape: torch.Size([247, 1]), gauss_weight shape: torch.Size([256, 247])
sorted_opacity shape: torch.Size([573, 1]), gauss_weight shape: torch.Size([256, 573])
sorted_opacity shape: torch.Size([939, 1]), gauss_weight shape: torch.Size([256, 939])
sorted_opacity shape: torch.Size([1306, 1]), gauss_weight shape: torch.Size([256, 1306])
sorted_opacity shape: torch.Size([1656, 1]), gauss_weight shape: torch.Size([256, 1656])
sorted_opacity shape: torch.Size([2015, 1]), gauss_weight shape: torch.Size([256, 2015])
sorted_opacity shape: torch.Size([2321, 1]), gauss_weight shape: torch.Size([256, 2321])
sorted_opacity shape: torch.Size([2515, 1]), gauss_weight shape: torch.Size([256, 2515])
sorted_opacity shape: torch.Size([2345, 1]), gauss_weight shape: torch.Size([256, 2345])
sorted_opacity shape: torch.Size([2021, 1]), gauss_weight shape: torch.Size([256, 2021])
sorted_opacity shape: torch.Size([1652, 1]), gauss_weight shape: torch.Size([256, 1652])
sorted_opacity shape: torch.Size([1323, 1]), gauss_weight shape: torch.Size([256, 1323])
sorted_opacity shape: torch.Size([970, 1]), gauss_weight shape: torch.Size([256, 970])
sorted_opacity shape: torch.Size([586, 1]), gauss_weight shape: torch.Size([256, 586])
sorted_opacity shape: torch.Size([235, 1]), gauss_weight shape: torch.Size([256, 235])
sorted_opacity shape: torch.Size([92, 1]), gauss_weight shape: torch.Size([256, 92])
sorted_opacity shape: torch.Size([50, 1]), gauss_weight shape: torch.Size([256, 50])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([256, 36])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([256, 27])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([256, 19])
sorted_opacity shape: torch.Size([28, 1]), gauss_weight shape: torch.Size([256, 28])
