sorted_opacity shape: torch.Size([11, 1]), gauss_weight shape: torch.Size([64, 11])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([64, 15])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([64, 20])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([64, 21])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([64, 27])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([64, 33])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([64, 35])
sorted_opacity shape: torch.Size([40, 1]), gauss_weight shape: torch.Size([64, 40])
sorted_opacity shape: torch.Size([55, 1]), gauss_weight shape: torch.Size([64, 55])
sorted_opacity shape: torch.Size([87, 1]), gauss_weight shape: torch.Size([64, 87])
sorted_opacity shape: torch.Size([135, 1]), gauss_weight shape: torch.Size([64, 135])
sorted_opacity shape: torch.Size([194, 1]), gauss_weight shape: torch.Size([64, 194])
sorted_opacity shape: torch.Size([276, 1]), gauss_weight shape: torch.Size([64, 276])
sorted_opacity shape: torch.Size([341, 1]), gauss_weight shape: torch.Size([64, 341])
sorted_opacity shape: torch.Size([406, 1]), gauss_weight shape: torch.Size([64, 406])
sorted_opacity shape: torch.Size([489, 1]), gauss_weight shape: torch.Size([64, 489])
sorted_opacity shape: torch.Size([563, 1]), gauss_weight shape: torch.Size([64, 563])
sorted_opacity shape: torch.Size([657, 1]), gauss_weight shape: torch.Size([64, 657])
sorted_opacity shape: torch.Size([726, 1]), gauss_weight shape: torch.Size([64, 726])
sorted_opacity shape: torch.Size([806, 1]), gauss_weight shape: torch.Size([64, 806])
sorted_opacity shape: torch.Size([871, 1]), gauss_weight shape: torch.Size([64, 871])
sorted_opacity shape: torch.Size([928, 1]), gauss_weight shape: torch.Size([64, 928])
sorted_opacity shape: torch.Size([985, 1]), gauss_weight shape: torch.Size([64, 985])
sorted_opacity shape: torch.Size([1025, 1]), gauss_weight shape: torch.Size([64, 1025])
sorted_opacity shape: torch.Size([1022, 1]), gauss_weight shape: torch.Size([64, 1022])
sorted_opacity shape: torch.Size([987, 1]), gauss_weight shape: torch.Size([64, 987])
sorted_opacity shape: torch.Size([931, 1]), gauss_weight shape: torch.Size([64, 931])
sorted_opacity shape: torch.Size([869, 1]), gauss_weight shape: torch.Size([64, 869])
sorted_opacity shape: torch.Size([804, 1]), gauss_weight shape: torch.Size([64, 804])
sorted_opacity shape: torch.Size([742, 1]), gauss_weight shape: torch.Size([64, 742])
sorted_opacity shape: torch.Size([669, 1]), gauss_weight shape: torch.Size([64, 669])
sorted_opacity shape: torch.Size([586, 1]), gauss_weight shape: torch.Size([64, 586])
sorted_opacity shape: torch.Size([492, 1]), gauss_weight shape: torch.Size([64, 492])
sorted_opacity shape: torch.Size([416, 1]), gauss_weight shape: torch.Size([64, 416])
sorted_opacity shape: torch.Size([331, 1]), gauss_weight shape: torch.Size([64, 331])
sorted_opacity shape: torch.Size([277, 1]), gauss_weight shape: torch.Size([64, 277])
sorted_opacity shape: torch.Size([203, 1]), gauss_weight shape: torch.Size([64, 203])
sorted_opacity shape: torch.Size([141, 1]), gauss_weight shape: torch.Size([64, 141])
sorted_opacity shape: torch.Size([92, 1]), gauss_weight shape: torch.Size([64, 92])
sorted_opacity shape: torch.Size([58, 1]), gauss_weight shape: torch.Size([64, 58])
sorted_opacity shape: torch.Size([49, 1]), gauss_weight shape: torch.Size([64, 49])
sorted_opacity shape: torch.Size([41, 1]), gauss_weight shape: torch.Size([64, 41])
sorted_opacity shape: torch.Size([32, 1]), gauss_weight shape: torch.Size([64, 32])
