sorted_opacity shape: torch.Size([13, 1]), gauss_weight shape: torch.Size([64, 13])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([64, 15])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([64, 19])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([64, 24])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([64, 27])
sorted_opacity shape: torch.Size([30, 1]), gauss_weight shape: torch.Size([64, 30])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([64, 36])
sorted_opacity shape: torch.Size([40, 1]), gauss_weight shape: torch.Size([64, 40])
sorted_opacity shape: torch.Size([48, 1]), gauss_weight shape: torch.Size([64, 48])
sorted_opacity shape: torch.Size([53, 1]), gauss_weight shape: torch.Size([64, 53])
sorted_opacity shape: torch.Size([87, 1]), gauss_weight shape: torch.Size([64, 87])
sorted_opacity shape: torch.Size([137, 1]), gauss_weight shape: torch.Size([64, 137])
sorted_opacity shape: torch.Size([203, 1]), gauss_weight shape: torch.Size([64, 203])
sorted_opacity shape: torch.Size([265, 1]), gauss_weight shape: torch.Size([64, 265])
sorted_opacity shape: torch.Size([343, 1]), gauss_weight shape: torch.Size([64, 343])
sorted_opacity shape: torch.Size([404, 1]), gauss_weight shape: torch.Size([64, 404])
sorted_opacity shape: torch.Size([451, 1]), gauss_weight shape: torch.Size([64, 451])
sorted_opacity shape: torch.Size([524, 1]), gauss_weight shape: torch.Size([64, 524])
sorted_opacity shape: torch.Size([597, 1]), gauss_weight shape: torch.Size([64, 597])
sorted_opacity shape: torch.Size([656, 1]), gauss_weight shape: torch.Size([64, 656])
sorted_opacity shape: torch.Size([751, 1]), gauss_weight shape: torch.Size([64, 751])
sorted_opacity shape: torch.Size([818, 1]), gauss_weight shape: torch.Size([64, 818])
sorted_opacity shape: torch.Size([877, 1]), gauss_weight shape: torch.Size([64, 877])
sorted_opacity shape: torch.Size([941, 1]), gauss_weight shape: torch.Size([64, 941])
sorted_opacity shape: torch.Size([979, 1]), gauss_weight shape: torch.Size([64, 979])
sorted_opacity shape: torch.Size([985, 1]), gauss_weight shape: torch.Size([64, 985])
sorted_opacity shape: torch.Size([949, 1]), gauss_weight shape: torch.Size([64, 949])
sorted_opacity shape: torch.Size([900, 1]), gauss_weight shape: torch.Size([64, 900])
sorted_opacity shape: torch.Size([848, 1]), gauss_weight shape: torch.Size([64, 848])
sorted_opacity shape: torch.Size([787, 1]), gauss_weight shape: torch.Size([64, 787])
sorted_opacity shape: torch.Size([724, 1]), gauss_weight shape: torch.Size([64, 724])
sorted_opacity shape: torch.Size([664, 1]), gauss_weight shape: torch.Size([64, 664])
sorted_opacity shape: torch.Size([584, 1]), gauss_weight shape: torch.Size([64, 584])
sorted_opacity shape: torch.Size([520, 1]), gauss_weight shape: torch.Size([64, 520])
sorted_opacity shape: torch.Size([448, 1]), gauss_weight shape: torch.Size([64, 448])
sorted_opacity shape: torch.Size([374, 1]), gauss_weight shape: torch.Size([64, 374])
sorted_opacity shape: torch.Size([284, 1]), gauss_weight shape: torch.Size([64, 284])
sorted_opacity shape: torch.Size([211, 1]), gauss_weight shape: torch.Size([64, 211])
sorted_opacity shape: torch.Size([159, 1]), gauss_weight shape: torch.Size([64, 159])
sorted_opacity shape: torch.Size([100, 1]), gauss_weight shape: torch.Size([64, 100])
sorted_opacity shape: torch.Size([59, 1]), gauss_weight shape: torch.Size([64, 59])
sorted_opacity shape: torch.Size([44, 1]), gauss_weight shape: torch.Size([64, 44])
sorted_opacity shape: torch.Size([34, 1]), gauss_weight shape: torch.Size([64, 34])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([64, 33])
