sorted_opacity shape: torch.Size([13, 1]), gauss_weight shape: torch.Size([16, 13])
sorted_opacity shape: torch.Size([14, 1]), gauss_weight shape: torch.Size([16, 14])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([16, 16])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([16, 18])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([16, 18])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([16, 18])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([16, 23])
sorted_opacity shape: torch.Size([25, 1]), gauss_weight shape: torch.Size([16, 25])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([16, 26])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([16, 27])
sorted_opacity shape: torch.Size([28, 1]), gauss_weight shape: torch.Size([16, 28])
sorted_opacity shape: torch.Size([32, 1]), gauss_weight shape: torch.Size([16, 32])
sorted_opacity shape: torch.Size([32, 1]), gauss_weight shape: torch.Size([16, 32])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([16, 35])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([16, 36])
sorted_opacity shape: torch.Size([39, 1]), gauss_weight shape: torch.Size([16, 39])
sorted_opacity shape: torch.Size([43, 1]), gauss_weight shape: torch.Size([16, 43])
sorted_opacity shape: torch.Size([50, 1]), gauss_weight shape: torch.Size([16, 50])
sorted_opacity shape: torch.Size([60, 1]), gauss_weight shape: torch.Size([16, 60])
sorted_opacity shape: torch.Size([77, 1]), gauss_weight shape: torch.Size([16, 77])
sorted_opacity shape: torch.Size([88, 1]), gauss_weight shape: torch.Size([16, 88])
sorted_opacity shape: torch.Size([107, 1]), gauss_weight shape: torch.Size([16, 107])
sorted_opacity shape: torch.Size([135, 1]), gauss_weight shape: torch.Size([16, 135])
sorted_opacity shape: torch.Size([152, 1]), gauss_weight shape: torch.Size([16, 152])
sorted_opacity shape: torch.Size([176, 1]), gauss_weight shape: torch.Size([16, 176])
sorted_opacity shape: torch.Size([202, 1]), gauss_weight shape: torch.Size([16, 202])
sorted_opacity shape: torch.Size([227, 1]), gauss_weight shape: torch.Size([16, 227])
sorted_opacity shape: torch.Size([256, 1]), gauss_weight shape: torch.Size([16, 256])
sorted_opacity shape: torch.Size([289, 1]), gauss_weight shape: torch.Size([16, 289])
sorted_opacity shape: torch.Size([320, 1]), gauss_weight shape: torch.Size([16, 320])
sorted_opacity shape: torch.Size([342, 1]), gauss_weight shape: torch.Size([16, 342])
sorted_opacity shape: torch.Size([380, 1]), gauss_weight shape: torch.Size([16, 380])
sorted_opacity shape: torch.Size([408, 1]), gauss_weight shape: torch.Size([16, 408])
sorted_opacity shape: torch.Size([446, 1]), gauss_weight shape: torch.Size([16, 446])
sorted_opacity shape: torch.Size([479, 1]), gauss_weight shape: torch.Size([16, 479])
sorted_opacity shape: torch.Size([514, 1]), gauss_weight shape: torch.Size([16, 514])
sorted_opacity shape: torch.Size([547, 1]), gauss_weight shape: torch.Size([16, 547])
sorted_opacity shape: torch.Size([581, 1]), gauss_weight shape: torch.Size([16, 581])
sorted_opacity shape: torch.Size([603, 1]), gauss_weight shape: torch.Size([16, 603])
sorted_opacity shape: torch.Size([627, 1]), gauss_weight shape: torch.Size([16, 627])
