sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([64, 23])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([64, 33])
sorted_opacity shape: torch.Size([37, 1]), gauss_weight shape: torch.Size([64, 37])
sorted_opacity shape: torch.Size([47, 1]), gauss_weight shape: torch.Size([64, 47])
sorted_opacity shape: torch.Size([70, 1]), gauss_weight shape: torch.Size([64, 70])
sorted_opacity shape: torch.Size([118, 1]), gauss_weight shape: torch.Size([64, 118])
sorted_opacity shape: torch.Size([163, 1]), gauss_weight shape: torch.Size([64, 163])
sorted_opacity shape: torch.Size([221, 1]), gauss_weight shape: torch.Size([64, 221])
sorted_opacity shape: torch.Size([289, 1]), gauss_weight shape: torch.Size([64, 289])
sorted_opacity shape: torch.Size([355, 1]), gauss_weight shape: torch.Size([64, 355])
sorted_opacity shape: torch.Size([434, 1]), gauss_weight shape: torch.Size([64, 434])
sorted_opacity shape: torch.Size([491, 1]), gauss_weight shape: torch.Size([64, 491])
sorted_opacity shape: torch.Size([531, 1]), gauss_weight shape: torch.Size([64, 531])
sorted_opacity shape: torch.Size([568, 1]), gauss_weight shape: torch.Size([64, 568])
sorted_opacity shape: torch.Size([576, 1]), gauss_weight shape: torch.Size([64, 576])
sorted_opacity shape: torch.Size([579, 1]), gauss_weight shape: torch.Size([64, 579])
sorted_opacity shape: torch.Size([566, 1]), gauss_weight shape: torch.Size([64, 566])
sorted_opacity shape: torch.Size([529, 1]), gauss_weight shape: torch.Size([64, 529])
sorted_opacity shape: torch.Size([486, 1]), gauss_weight shape: torch.Size([64, 486])
sorted_opacity shape: torch.Size([418, 1]), gauss_weight shape: torch.Size([64, 418])
sorted_opacity shape: torch.Size([342, 1]), gauss_weight shape: torch.Size([64, 342])
sorted_opacity shape: torch.Size([281, 1]), gauss_weight shape: torch.Size([64, 281])
sorted_opacity shape: torch.Size([222, 1]), gauss_weight shape: torch.Size([64, 222])
sorted_opacity shape: torch.Size([157, 1]), gauss_weight shape: torch.Size([64, 157])
sorted_opacity shape: torch.Size([91, 1]), gauss_weight shape: torch.Size([64, 91])
sorted_opacity shape: torch.Size([51, 1]), gauss_weight shape: torch.Size([64, 51])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([64, 36])
sorted_opacity shape: torch.Size([28, 1]), gauss_weight shape: torch.Size([64, 28])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([64, 21])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([64, 15])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([64, 26])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([64, 36])
sorted_opacity shape: torch.Size([40, 1]), gauss_weight shape: torch.Size([64, 40])
sorted_opacity shape: torch.Size([51, 1]), gauss_weight shape: torch.Size([64, 51])
sorted_opacity shape: torch.Size([77, 1]), gauss_weight shape: torch.Size([64, 77])
sorted_opacity shape: torch.Size([129, 1]), gauss_weight shape: torch.Size([64, 129])
sorted_opacity shape: torch.Size([179, 1]), gauss_weight shape: torch.Size([64, 179])
sorted_opacity shape: torch.Size([244, 1]), gauss_weight shape: torch.Size([64, 244])
sorted_opacity shape: torch.Size([319, 1]), gauss_weight shape: torch.Size([64, 319])
sorted_opacity shape: torch.Size([397, 1]), gauss_weight shape: torch.Size([64, 397])
sorted_opacity shape: torch.Size([494, 1]), gauss_weight shape: torch.Size([64, 494])
sorted_opacity shape: torch.Size([562, 1]), gauss_weight shape: torch.Size([64, 562])
sorted_opacity shape: torch.Size([603, 1]), gauss_weight shape: torch.Size([64, 603])
sorted_opacity shape: torch.Size([640, 1]), gauss_weight shape: torch.Size([64, 640])
sorted_opacity shape: torch.Size([648, 1]), gauss_weight shape: torch.Size([64, 648])
sorted_opacity shape: torch.Size([652, 1]), gauss_weight shape: torch.Size([64, 652])
sorted_opacity shape: torch.Size([639, 1]), gauss_weight shape: torch.Size([64, 639])
sorted_opacity shape: torch.Size([602, 1]), gauss_weight shape: torch.Size([64, 602])
sorted_opacity shape: torch.Size([551, 1]), gauss_weight shape: torch.Size([64, 551])
sorted_opacity shape: torch.Size([462, 1]), gauss_weight shape: torch.Size([64, 462])
sorted_opacity shape: torch.Size([375, 1]), gauss_weight shape: torch.Size([64, 375])
sorted_opacity shape: torch.Size([306, 1]), gauss_weight shape: torch.Size([64, 306])
sorted_opacity shape: torch.Size([244, 1]), gauss_weight shape: torch.Size([64, 244])
sorted_opacity shape: torch.Size([172, 1]), gauss_weight shape: torch.Size([64, 172])
sorted_opacity shape: torch.Size([105, 1]), gauss_weight shape: torch.Size([64, 105])
sorted_opacity shape: torch.Size([59, 1]), gauss_weight shape: torch.Size([64, 59])
sorted_opacity shape: torch.Size([41, 1]), gauss_weight shape: torch.Size([64, 41])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([64, 33])
sorted_opacity shape: torch.Size([22, 1]), gauss_weight shape: torch.Size([64, 22])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([64, 27])
sorted_opacity shape: torch.Size([38, 1]), gauss_weight shape: torch.Size([64, 38])
sorted_opacity shape: torch.Size([42, 1]), gauss_weight shape: torch.Size([64, 42])
sorted_opacity shape: torch.Size([53, 1]), gauss_weight shape: torch.Size([64, 53])
sorted_opacity shape: torch.Size([80, 1]), gauss_weight shape: torch.Size([64, 80])
sorted_opacity shape: torch.Size([135, 1]), gauss_weight shape: torch.Size([64, 135])
sorted_opacity shape: torch.Size([196, 1]), gauss_weight shape: torch.Size([64, 196])
sorted_opacity shape: torch.Size([264, 1]), gauss_weight shape: torch.Size([64, 264])
sorted_opacity shape: torch.Size([341, 1]), gauss_weight shape: torch.Size([64, 341])
sorted_opacity shape: torch.Size([421, 1]), gauss_weight shape: torch.Size([64, 421])
sorted_opacity shape: torch.Size([526, 1]), gauss_weight shape: torch.Size([64, 526])
sorted_opacity shape: torch.Size([607, 1]), gauss_weight shape: torch.Size([64, 607])
sorted_opacity shape: torch.Size([659, 1]), gauss_weight shape: torch.Size([64, 659])
sorted_opacity shape: torch.Size([697, 1]), gauss_weight shape: torch.Size([64, 697])
sorted_opacity shape: torch.Size([706, 1]), gauss_weight shape: torch.Size([64, 706])
sorted_opacity shape: torch.Size([710, 1]), gauss_weight shape: torch.Size([64, 710])
sorted_opacity shape: torch.Size([697, 1]), gauss_weight shape: torch.Size([64, 697])
sorted_opacity shape: torch.Size([660, 1]), gauss_weight shape: torch.Size([64, 660])
sorted_opacity shape: torch.Size([607, 1]), gauss_weight shape: torch.Size([64, 607])
sorted_opacity shape: torch.Size([510, 1]), gauss_weight shape: torch.Size([64, 510])
sorted_opacity shape: torch.Size([415, 1]), gauss_weight shape: torch.Size([64, 415])
sorted_opacity shape: torch.Size([341, 1]), gauss_weight shape: torch.Size([64, 341])
sorted_opacity shape: torch.Size([269, 1]), gauss_weight shape: torch.Size([64, 269])
sorted_opacity shape: torch.Size([192, 1]), gauss_weight shape: torch.Size([64, 192])
sorted_opacity shape: torch.Size([122, 1]), gauss_weight shape: torch.Size([64, 122])
sorted_opacity shape: torch.Size([65, 1]), gauss_weight shape: torch.Size([64, 65])
sorted_opacity shape: torch.Size([46, 1]), gauss_weight shape: torch.Size([64, 46])
sorted_opacity shape: torch.Size([37, 1]), gauss_weight shape: torch.Size([64, 37])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([64, 26])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([64, 20])
sorted_opacity shape: torch.Size([30, 1]), gauss_weight shape: torch.Size([64, 30])
